Command,Action,Device,Index
switch off the basement security camera,turn_off,security camera,basement
can you turn on the thermostat?,turn_on,thermostat,none
I want to power up the eleventh fan,turn_on,fan,11
I want to end the fourth and fifteenth fan,turn_off,fan,"4,15"
deactivate the attic air conditioner,turn_off,air conditioner,attic
please start the thermostat in back,turn_on,thermostat,back
power off the twelfth thermostat,turn_off,thermostat,12
switch on every air conditioner,turn_on,air conditioner,all
power on the air conditioner number one and twelve,turn_on,air conditioner,"1,12"
power off light eighteen,turn_off,light,18
I need to power on every heater,turn_on,heater,all
I want to turn on the security camera,turn_on,security camera,none
please begin the security camera in basement,turn_on,security camera,basement
please open the window,open,window,none
stop the heater,turn_off,heater,none
break light,unknown,light,none
enable the basement light,turn_on,light,basement
lock every door,lock,door,all
power on the thermostat number five,turn_on,thermostat,5
please turn on thermostats number one and twelve,turn_on,thermostat,"1,12"
I want to enable the thirteenth and nineteenth light,turn_on,light,"13,19"
begin the security camera,turn_on,security camera,none
I want to switch on the second TV in the kitchen,turn_on,TV,"2,kitchen"
turn on the TV number ten and seventeen,turn_on,TV,"10,17"
please power off the fan,turn_off,fan,none
begin thermostat two,turn_on,thermostat,2
power on heater,turn_on,heater,none
power off the sixth and nineteenth security camera,turn_off,security camera,"6,19"
I want to turn on the bedroom TV,turn_on,TV,bedroom
I need to shut down every TV,turn_off,TV,all
please turn on heaters number ten and nineteen,turn_on,heater,"10,19"
disable the thermostat number eleven and fourteen,turn_off,thermostat,"11,14"
turn off the heater,turn_off,heater,none
turn on the seventh TV in the front,turn_on,TV,"7,front"
kill the basement heater,turn_off,heater,basement
switch on bathroom thermostat,turn_on,thermostat,bathroom
start the heater number twenty,turn_on,heater,20
I want to enable the front fan,turn_on,fan,front
please turn off fans number one and thirteen,turn_off,fan,"1,13"
turn on the thermostat number seven,turn_on,thermostat,7
power off all TVs,turn_off,TV,all
please lock the door,lock,door,none
please deactivate the TV in basement,turn_off,TV,basement
please turn on heaters number eight and ten,turn_on,heater,"8,10"
please lock the door,lock,door,none
turn off all TVs,turn_off,TV,all
shut the door,close,door,none
switch off all fans,turn_off,fan,all
open the ninth and nineteenth window,open,window,"9,19"
stop the TV number seventeen in the kitchen,turn_off,TV,"17,kitchen"
please shut door number ten,close,door,10
I need to shut every door,close,door,all
please lock door number nine in living room,lock,door,"9,living room"
turn on thermostat seven,turn_on,thermostat,7
I want to end the nineteenth light,turn_off,light,19
disable the seventh fan in the bedroom,turn_off,fan,"7,bedroom"
I want to switch off the basement fan,turn_off,fan,basement
turn on the kitchen TV,turn_on,TV,kitchen
power down the thermostat number eighteen,turn_off,thermostat,18
power down the light number six and nine,turn_off,light,"6,9"
can you enable the thermostat?,turn_on,thermostat,none
deactivate the twentieth heater,turn_off,heater,20
switch on the garage heater,turn_on,heater,garage
disable the air conditioner number fifteen in the bedroom,turn_off,air conditioner,"15,bedroom"
turn off the heater number five in the back,turn_off,heater,"5,back"
open the ninth window in the back,open,window,"9,back"
I want to switch on the ninth air conditioner,turn_on,air conditioner,9
power on the security camera number five,turn_on,security camera,5
I want to power off the eleventh and sixteenth fan,turn_off,fan,"11,16"
power on the attic thermostat,turn_on,thermostat,attic
replace air conditioner,unknown,air conditioner,none
please unlatch window number thirteen in garage,open,window,"13,garage"
please switch off fan number six,turn_off,fan,6
power down every fan,turn_off,fan,all
please secure the door,lock,door,none
start the heater number fourteen,turn_on,heater,14
I want to switch off the living room fan,turn_off,fan,living room
power on the fifth and nineteenth TV,turn_on,TV,"5,19"
power down the air conditioner,turn_off,air conditioner,none
power up the seventh light in the living room,turn_on,light,"7,living room"
turn on the security camera number fourteen in the basement,turn_on,security camera,"14,basement"
enable the attic thermostat,turn_on,thermostat,attic
power off bedroom TV,turn_off,TV,bedroom
can you enable the fan?,turn_on,fan,none
I want to switch on the thermostat,turn_on,thermostat,none
I need to open every window,open,window,all
switch on the nineteenth TV in the kitchen,turn_on,TV,"19,kitchen"
power up the garage security camera,turn_on,security camera,garage
